Year,pCO2,pCH4,pN2O,SST
1850,284.001634,801.42,275.4,-0.3095
1851,287.1281131,,,-0.19337
1852,,,,-0.18339
1853,,,,-0.21098
1854,288.0544375,,,-0.26843
1855,285.5655772,808.5,275.9,-0.24173
1856,,,,-0.30534
1857,283.1621007,,,-0.42742
1858,,,,-0.40247
1859,286.6330756,,,-0.27896
1860,,815.59,276.4,-0.23687
1861,,,,-0.36428
1862,287.1745622,,,-0.3972
1863,285.3533188,,,-0.32899
1864,286.6541582,,,-0.36861
1865,,823.38,276.9,-0.21322
1866,,,,-0.20775
1867,285.0522923,,,-0.20575
1868,288.7641981,,,-0.2161
1869,,,,-0.2839
1870,287.1561379,831.18,277.4,-0.22569
1871,,,,-0.23173
1872,,,,-0.24454
1873,286.6550967,,,-0.29478
1874,291.5581975,,,-0.39171
1875,,839.33,277.8,-0.24149
1876,,,,-0.34601
1877,289.3281311,,,-0.02539
1878,,,,-0.00461
1879,,,,-0.19775
1880,287.7707292,847.48,278.2,-0.2034
1881,,,,-0.15268
1882,,,,-0.21559
1883,292.4639348,,,-0.24938
1884,289.494506,,,-0.35493
1885,,857.35,278.7,-0.34008
1886,288.1157637,,,-0.35377
1887,294.3417875,,,-0.42533
1888,,,,-0.25392
1889,292.3423879,,,-0.16842
1890,290.9175394,867.22,279.1,-0.439
1891,,,,-0.28028
1892,295.1719293,,,-0.42191
1893,295.0879468,,,-0.41688
1894,293.4876862,,,-0.44214
1895,,878.76,279.5,-0.35342
1896,,,,-0.15929
1897,,,,-0.20407
1898,,,,-0.43947
1899,296.164411,,,-0.31662
1900,294.2207216,890.3,279.8,-0.23602
1901,,,,-0.36399
1902,295.6106368,,,-0.4537
1903,,,,-0.57443
1904,295.9913578,,,-0.60236
1905,299.0235966,912.07,280.3,-0.43521
1906,298.4775408,,,-0.38451
1907,,,,-0.46854
1908,,,,-0.5687
1909,301.5041354,,,-0.58671
1910,297.8691068,935.46,281,-0.58422
1911,298.3634466,,,-0.58624
1912,,,,-0.45112
1913,301.2977262,,,-0.48329
1914,300.7000887,,,-0.33749
1915,,961.48,281.8,-0.22696
1916,301.9151507,,,-0.41508
1917,,,,-0.45933
1918,303.8522213,,,-0.41373
1919,304.6132073,,,-0.36713
1920,301.8758604,990.23,282.9,-0.28462
1921,,,,-0.25981
1922,,,,-0.34122
1923,304.6900813,,,-0.31834
1924,,,,-0.31222
1925,304.8425357,1020.2,284,-0.26628
1926,,,,-0.14287
1927,,,,-0.2165
1928,306.8433052,,,-0.24909
1929,305.6230468,,,-0.32
1930,,1049.05,285,-0.16838
1931,305.7409187,,,-0.1115
1932,308.2555622,,,-0.19265
1933,307.1116137,,,-0.26562
1934,308.3530852,,,-0.20761
1935,306.3197984,1076.54,285.9,-0.21589
1936,308.3016427,,,-0.17797
1937,307.4076932,,,-0.03873
1938,311.067673,,,-0.11749
1939,310.8342309,,,-0.10255
1940,310.3760009,1102.4,286.7,-0.01199
1941,309.7704657,,,0.00327
