Date,Month_since_january_1979,Temperature_anomaly,pCO2
15/01/1979,0,0.08,336.56
15/02/1979,1,-0.1,337.29
15/03/1979,2,0.19,337.88
15/04/1979,3,0.15,338.32
15/05/1979,4,0.03,338.26
15/06/1979,5,0.14,337.38
15/07/1979,6,0.04,335.56
15/08/1979,7,0.17,334.37
15/09/1979,8,0.25,335.02
15/10/1979,9,0.26,336.36
15/11/1979,10,0.28,337.36
15/12/1979,11,0.48,337.85
15/01/1980,12,0.3,338.55
15/02/1980,13,0.39,339.27
15/03/1980,14,0.29,339.6
15/04/1980,15,0.3,339.99
15/05/1980,16,0.35,340.44
15/06/1980,17,0.2,339.99
15/07/1980,18,0.22,338.44
15/08/1980,19,0.18,337.21
15/09/1980,20,0.2,337.05
15/10/1980,21,0.13,337.83
15/11/1980,22,0.3,338.93
15/12/1980,23,0.21,339.64
15/01/1981,24,0.53,340.18
15/02/1981,25,0.42,340.75
15/03/1981,26,0.48,341.38
15/04/1981,27,0.32,341.68
15/05/1981,28,0.24,341.43
15/06/1981,29,0.29,340.63
15/07/1981,30,0.32,339.22
15/08/1981,31,0.35,338.08
15/09/1981,32,0.15,337.97
15/10/1981,33,0.12,339.07
15/11/1981,34,0.23,340.18
15/12/1981,35,0.41,340.75
15/01/1982,36,0.05,341.37
15/02/1982,37,0.16,341.95
15/03/1982,38,0.03,342.23
15/04/1982,39,0.15,342.52
15/05/1982,40,0.18,342.36
15/06/1982,41,0.06,341.49
15/07/1982,42,0.15,339.75
15/08/1982,43,0.04,338.11
15/09/1982,44,0.14,338.16
15/10/1982,45,0.13,339.62
15/11/1982,46,0.18,340.95
15/12/1982,47,0.43,341.77
15/01/1983,48,0.53,342.37
15/02/1983,49,0.43,342.74
15/03/1983,50,0.42,343.04
15/04/1983,51,0.28,343.51
15/05/1983,52,0.34,343.84
15/06/1983,53,0.23,343.5
15/07/1983,54,0.18,342.14
15/08/1983,55,0.36,340.62
15/09/1983,56,0.37,340.53
15/10/1983,57,0.17,341.75
15/11/1983,58,0.3,342.83
15/12/1983,59,0.17,343.49
15/01/1984,60,0.31,344.32
15/02/1984,61,0.14,344.82
15/03/1984,62,0.26,344.96
15/04/1984,63,0.06,345.19
15/05/1984,64,0.33,345.33
15/06/1984,65,0.02,344.57
15/07/1984,66,0.19,343.2
15/08/1984,67,0.2,342.21
15/09/1984,68,0.21,342.13
15/10/1984,69,0.14,342.99
15/11/1984,70,0.07,344.16
15/12/1984,71,-0.04,345
15/01/1985,72,0.22,345.35
15/02/1985,73,-0.04,345.8
15/03/1985,74,0.18,346.64
15/04/1985,75,0.12,346.94
15/05/1985,76,0.14,346.78
15/06/1985,77,0.15,346.26
15/07/1985,78,0.04,344.92
15/08/1985,79,0.17,343.41
15/09/1985,80,0.13,343.37
15/10/1985,81,0.12,344.64
15/11/1985,82,0.05,345.79
15/12/1985,83,0.14,346.55
15/01/1986,84,0.26,347.11
15/02/1986,85,0.37,347.34
15/03/1986,86,0.3,347.71
15/04/1986,87,0.22,348.22
15/05/1986,88,0.21,348.32
15/06/1986,89,0.12,347.76
15/07/1986,90,0.11,346.3
15/08/1986,91,0.16,344.92
15/09/1986,92,0.03,344.86
15/10/1986,93,0.15,346.04
15/11/1986,94,0.1,347.3
15/12/1986,95,0.13,347.76
15/01/1987,96,0.32,348.02
15/02/1987,97,0.43,348.57
15/03/1987,98,0.18,349.29
15/04/1987,99,0.24,349.98
15/05/1987,100,0.25,350.26
15/06/1987,101,0.35,349.48
15/07/1987,102,0.4,347.86
15/08/1987,103,0.25,346.61
15/09/1987,104,0.35,346.7
15/10/1987,105,0.32,347.97
15/11/1987,106,0.29,349.25
15/12/1987,107,0.46,350.21
15/01/1988,108,0.57,350.91
15/02/1988,109,0.44,351.47
15/03/1988,110,0.51,351.85
15/04/1988,111,0.42,352.29
15/05/1988,112,0.44,352.46
15/06/1988,113,0.4,351.76
15/07/1988,114,0.33,350.28
15/08/1988,115,0.39,349.1
15/09/1988,116,0.37,349.27
15/10/1988,117,0.38,350.44
15/11/1988,118,0.12,351.61
15/12/1988,119,0.29,352.46
15/01/1989,120,0.12,353.01
15/02/1989,121,0.3,353.46
15/03/1989,122,0.36,354.01
15/04/1989,123,0.29,354.38
15/05/1989,124,0.17,354.19
15/06/1989,125,0.16,353.27
15/07/1989,126,0.34,351.56
15/08/1989,127,0.33,350.21
15/09/1989,128,0.34,350.56
15/10/1989,129,0.29,351.85
15/11/1989,130,0.19,353.04
15/12/1989,131,0.37,353.91
15/01/1990,132,0.41,354.47
15/02/1990,133,0.44,354.87
15/03/1990,134,0.8,355.19
