%Amp	Pyr	Plag	Ksp	Qtz	Cla	Flu	Sph	Gal
0.1702	0.1906	0.3079	0.0941	0.0286	0	0.0767	0.0577	0.0742
0.1357	0.1910	0.2532	0.1248	0.1060	0.0275	0.0621	0.0331	0.0665
0.0885	0.1016	0.1791	0.1160	0.1185	0.0174	0.1673	0.0789	0.1328
0.0736	0.1200	0.1554	0.1269	0.2309	0.0655	0.0916	0.0630	0.0731
0.0073	0.0645	0.0737	0.1407	0.2009	0.0278	0.2212	0.0937	0.1701
0.0549	0.0161	0.0626	0.1710	0.3922	0.0859	0.1193	0.0376	0.0604
0.0805	0.0465	0.0998	0.1848	0.3848	0.1157	0.0722	0.0157	0
0.2191	0.2266	0.3230	0.0877	0.0396	0	0.0559	0.0317	0.0164
0.1694	0.1608	0.2352	0.1217	0.0983	0.0301	0.0619	0.0599	0.0627
0.2318	0.2116	0.3768	0.1020	0.0339	0.0070	0.0286	0.0010	0.0074
