Name,GP,MIN,PTS,FG_PC,THREEP_Made,THREEP_PC,FTM,FT_PC,REB,AST,STL,BLK,TOV,TARGET_5Yrs
Brandon Ingram,36,27.4,7.4,34.7,0.5,25,1.6,69.9,4.1,1.9,0.4,0.4,1.3,0
Andrew Harrison,35,26.9,7.2,29.6,0.7,23.5,2.6,76.5,2.4,3.7,1.1,0.5,1.6,0
JaKarr Sampson,74,15.3,5.2,42.2,0.4,24.4,0.9,67,2.2,1,0.5,0.3,1,0
Malik Sealy,58,11.6,5.7,42.6,0.1,22.6,0.9,68.9,1.9,0.8,0.6,0.1,1,1
Matt Geiger,48,11.5,4.5,52.4,0,0,1.3,67.4,2.5,0.3,0.3,0.4,0.8,1
Tony Bennett,75,11.4,3.7,42.3,0.3,32.5,0.4,73.2,0.8,1.8,0.4,0,0.7,0
Don MacLean,62,10.9,6.6,43.5,0,50,1.5,81.1,2,0.6,0.2,0.1,0.7,1
Tracy Murray,48,10.3,5.7,41.5,0.4,30,0.7,87.5,1.7,0.2,0.2,0.1,0.7,1
Duane Cooper,65,9.9,2.4,39.2,0.1,23.3,0.4,71.4,0.8,2.3,0.3,0,1.1,0
Dave Johnson,42,8.5,3.7,38.3,0.1,21.4,1,67.8,1.1,0.3,0.2,0,0.7,0
Corey Williams,35,6.9,2.3,36.5,0,33.3,0.5,81.8,0.9,0.7,0.1,0.1,0.3,0
Sam Mack,40,6.7,3.6,39.8,0.1,13.6,1.1,77.6,1.2,0.4,0.3,0.1,0.6,1
Lorenzo Williams,27,6.6,1.3,47.2,0,0,0.1,28.6,2,0.2,0.2,0.6,0.3,1
P.J. Hairston,45,15.3,5.6,32.3,1.1,30.1,0.7,86.1,2,0.5,0.5,0.3,0.5,0
Elmore Spencer,44,6.4,2.4,53.7,0,0,0.4,50,1.4,0.2,0.2,0.4,0.6,1
John Crotty,40,6.1,2.6,51.4,0.1,14.3,0.7,68.4,0.4,1.4,0.3,0,0.8,1
Stephen Howard,49,5.3,2.1,37.6,0,0,0.7,64.2,1.2,0.2,0.3,0.2,0.5,0
Randy Woods,41,4.2,1.7,34.8,0.1,21.4,0.5,73.1,0.3,1,0.3,0,0.4,0
Larry Johnson,82,37.2,19.2,49,0.1,22.7,4.1,82.9,11,3.6,1,0.6,1.9,0
Larry Johnson,82,37.2,19.2,49,0.1,22.7,4.1,82.9,11,3.6,1,0.6,1.9,1
Billy Owens,80,31.4,14.3,52.5,0,11.1,2.6,65.4,8,2.4,1.1,0.8,2.2,1
Stacey Augmon,82,30.5,13.3,48.9,0,16.7,2.6,66.6,5.1,2.5,1.5,0.3,2.2,1
Mark Macon,76,30.3,10.6,37.5,0.1,13.3,1.8,73,2.9,2.2,2,0.2,2,1
Steven Smith,61,29.6,12,45.4,0.7,32,1.6,74.8,3.1,4.6,1,0.3,2.5,0
Mitch McGary,32,15.2,6.3,53.3,0,0,0.8,62.5,5.2,0.4,0.5,0.5,1,0
Larry Stewart,76,29.3,10.4,51.4,0,0,2.5,80.7,5.9,1.6,0.7,0.6,1.5,1
Mike Iuzzolino,52,24.6,9.3,45.1,1.1,43.4,2.1,83.6,1.9,3.7,0.6,0,1.8,0
Doug Smith,76,22.5,8.8,41.5,0,0,1.2,73.6,5.1,1.7,0.8,0.5,1.3,1
Paul Graham,78,22,10.1,44.7,0.7,39,1.6,74.1,3,2.2,1.2,0.3,1.2,0
Donald Hodge,51,20.7,8.4,49.7,0,0,2,66.7,5.4,0.8,0.5,0.5,1.5,1
Dale Davis,64,20.3,6.2,55.2,0,0,1.4,57.2,6.4,0.5,0.4,1.2,0.8,1
Stanley Roberts,55,20.3,10.4,52.9,0,0,1.8,51.5,6.1,0.7,0.4,1.5,1.4,1
Terrell Brandon,82,19.6,7.4,41.9,0,4.3,1.2,80.6,2,3.9,1,0.3,1.7,1
Bison Dele,48,18.9,9.1,52.8,0,0,2,66.9,5.7,0.7,0.8,1.1,1.8,1
Spencer Dinwiddie,34,13.4,4.3,30.2,0.4,18.5,0.9,91.2,1.4,3.1,0.6,0.2,1,0
Tracy Moore,42,18.6,8.5,40,0.7,35.7,1.5,83.3,2,1.1,0.8,0.1,1.1,1
Greg Anthony,82,18.4,5.5,37,0.1,14.5,1.4,74.1,1.7,3.8,0.7,0.1,1.2,1
Kenny Anderson,64,17,7,39,0,23.1,1.1,74.5,2,3.2,1.1,0.1,1.5,1
